"Title","Director","Cast (Subject of documentary)","Genre","Note"
"3 Ninjas Knuckle Up","Sang-ok Shin","Victor Wong, Charles Napier, Michael Treanor, Max Elliott Slade","Comedy",""
"Above Suspicion","Steven Schachter","Christopher Reeve, Kim Cattrall, Joe Mantegna","Thriller","HBO"
"Ace Ventura: When Nature Calls","Steve Oedekerk","Jim Carrey, Ian McNeice, Sophie Okonedo, Bob Gunton","Comedy","sequel"
"The Addiction","Abel Ferrara","Lili Taylor, Christopher Walken, Annabella Sciorra","Horror",""
"Aladdin and the King of Thieves","Tad Stones","Scott Weinger, Robin Williams, John Rhys-Davies","Animated","direct-to-video sequel"
"Amanda and the Alien","Jon Kroll","John Diehl, Michael Dorn","Sci-fi comedy",""
"The Amazing Panda Adventure","Christopher Cain","Stephen Lang, Ryan Slater, Yi Ding","Family",""
"The American President","Rob Reiner","Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Samantha Mathis, Richard Dreyfuss","Romantic comedy","script by Aaron Sorkin; 5 Golden Globe nominations"
"Angela","Rebecca Miller","Miranda Stuart Rhyne","Drama",""
"Angels and Insects","Philip Haas","Mark Rylance, Patsy Kensit, Kristin Scott Thomas","Drama",""
"Angus","Patrick Read Johnson","Charlie Talbert, George C. Scott, Kathy Bates","Comedy",""
"Apollo 13","Ron Howard","Tom Hanks, Kevin Bacon, Bill Paxton, Gary Sinise, Ed Harris, Kathleen Quinlan","Drama, Biography","9 Oscar nominations"
"Assassins","Richard Donner","Sylvester Stallone, Antonio Banderas, Julianne Moore","Action",""
"Attack of the 60 Foot Centerfold","Fred Olen Ray","J. J. North, Ted Monte, Tammy Parks","Sci-fi comedy",""
"Aurora: Operation Intercept","Paul Levine","Bruce Payne, Lance Henriksen","Spy, Thriller",""
"Babe","Chris Noonan","James Cromwell, Christine Cavanaugh, Hugo Weaving","Fantasy","7 Oscar nominations"
"The Baby-Sitters Club","Melanie Mayron","Schuyler Fisk, Bre Blair, Rachael Leigh Cook","Family",""
"Bad Boys","Michael Bay","Martin Lawrence, Will Smith, Téa Leoni, Tcheky Karyo, Theresa Randle, Joe Pantoliano","Action comedy","Bay's first film"
"Bad Company","Damian Harris","Ellen Barkin, Laurence Fishburne, Frank Langella","Suspense","Touchstone Pictures"
"Balto","Simon Wells","Voices of Kevin Bacon, Bob Hoskins, Bridget Fonda, Phil Collins","Animated",""
"Bang","Ash","Darling Narita, Peter Greene","Drama",""
"The Basketball Diaries","Scott Kalvert","Leonardo DiCaprio, Lorraine Bracco","Biography","story of Jim Carroll"
"Batman Forever","Joel Schumacher","Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman, Chris O'Donnell, Drew Barrymore, Debi Mazar","Superhero","sequel to Batman and Batman Returns"
"Baywatch the Movie: Forbidden Paradise","Douglas Schwartz","David Hasselhoff, Pamela Anderson, Parker Stevenson","Drama","TV"
"Before Sunrise","Richard Linklater","Ethan Hawke, Julie Delpy","Romance","followed by Before Sunset"
"Beyond Rangoon","John Boorman","Patricia Arquette, Frances McDormand, Johnny Cheah, Adelle Lutz","Biography, Drama","based on a true story"
"The Big Green","Holly Goldberg Sloan","Steve Guttenberg, Olivia d'Abo, Bug Hall","Comedy","Walt Disney"
"Billy Madison","Tamra Davis","Adam Sandler, Bridgette Wilson, Darren McGavin","Comedy",""
"Black Scorpion","Jonathan Winfrey","Joan Severance, Bruce Abbott","Superhero",""
"Bloodfist VI: Ground Zero","Rick Jacobson","Don Wilson, Marcus Aurelius","Action","sequel"
"Bloodfist VII: Manhunt","Jonathan Winfrey","Don Wilson, Jillian McWhirter","Action","sequel"
"Blue in the Face","Paul Auster, Wayne Wang","Harvey Keitel, Madonna, Giancarlo Esposito, Roseanne Barr","Comedy",""
"Born to Be Wild","John Gray","Wil Horneff, Helen Shaver, John C. McGinley","Comedy",""
"Boys Life","Robert Lee King, Raoul O'Connell","Robert Lee King, Raoul O'Connell","Gay drama",""
"Boys on the Side","Herbert Ross","Whoopi Goldberg, Mary-Louise Parker, Drew Barrymore, Matthew McConaughey, James Remar","Comedy, Drama","final film for Ross"
"The Brady Bunch Movie","Betty Thomas","Shelley Long, Gary Cole, Christine Taylor","Comedy","based on the TV show"
"Braveheart","Mel Gibson","Mel Gibson, Sophie Marceau, Catherine McCormack, Patrick McGoohan","Drama, Biography","Oscar for Best Picture"
"The Bridges of Madison County","Clint Eastwood","Clint Eastwood, Meryl Streep","Drama","based on a novel by Robert James Waller"
"The Brothers McMullen","Edward Burns","Edward Burns, Mike McGlone","Comedy, Drama",""
"A Bucket of Blood","Michael McDonald","Anthony Michael Hall, Paul Bartel","Black comedy",""
"Bushwhacked","Greg Beeman","Daniel Stern, Brad Sullivan","Comedy",""
"Bye Bye Love","Sam Weisman","Matthew Modine, Randy Quaid, Paul Reiser, Janeane Garofalo, Amy Brenneman, Lindsay Crouse, Rob Reiner","Comedy","20th Century Fox"
"Canadian Bacon","Michael Moore","Alan Alda, John Candy, Bill Nunn, Rhea Perlman, Rip Torn","Comedy, Satire","Moore's only non-documentary"
"Candyman 2: Farewell to the Flesh","Bill Condon","Tony Todd, Kelly Rowan","Horror",""
"Carnosaur 2","Louis Morneau","John Savage, Cliff De Young","Horror",""
"Casino","Martin Scorsese","Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Kevin Pollak, Alan King, Don Rickles","Crime drama","from Nicholas Pileggi book; Oscar nomination for Stone"
"Casper","Brad Silberling","Christina Ricci, Bill Pullman, Cathy Moriarty, Eric Idle","Comedy",""
"Castle Freak","Stuart Gordon","Jeffrey Combs, Barbara Crampton","Horror",""
"Catherine the Great","Marvin J. Chomsky, John Goldsmith","Catherine Zeta-Jones, Jeanne Moreau","Biography","Story of Catherine II"
"The Celluloid Closet","Rob Epstein, Jeffrey Friedman","Lily Tomlin (narrator)","Documentary",""
"The Chicken from Outer Space","John R. Dilworth","(as voices)","Animated",""
"Children of the Corn III: Urban Harvest","James D.R. Hickox","Daniel Cerny, Ron Melendez","Horror","sequel"
"Citizen X","Chris Gerolmo","Stephen Rea, Donald Sutherland, Max von Sydow, Jeffrey DeMunn","Crime drama","HBO"
"Clockers","Spike Lee","Harvey Keitel, John Turturro, Delroy Lindo, Mekhi Phifer","Drama","based on a novel by Richard Price"
"Clueless","Amy Heckerling","Alicia Silverstone, Paul Rudd, Stacey Dash, Brittany Murphy, Dan Hedaya, Jeremy Sisto, Elisa Donovan, Breckin Meyer, Wallace Shawn","Comedy",""
"Coldblooded","Wallace Wolodarsky","Jason Priestley, Peter Riegert, Robert Loggia","Comedy, Thriller",""
"The Computer Wore Tennis Shoes","Peyton Reed","Kirk Cameron","Science fiction Comedy",""
"Congo","Frank Marshall","Dylan Walsh, Laura Linney, Ernie Hudson, Tim Curry, Grant Heslov, Joe Don Baker","Science fiction, Adventure","based on Michael Crichton novel; 7 Razzie nominations"
