"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Paranormal Activity: The Marked Ones","Christopher B. Landon","Jorge Diaz Andrew Jacobs Gabrielle Walsh Richard Cabral","Horror","Paramount Pictures Sequel to Paranormal Activity 4 (2012)"
"Open Grave","Gonzalo López-Gallego","Sharlto Copley Joseph Morgan Josie Ho Thomas Kretschmann","Thriller","Tribeca Films"
"Cold Comes the Night","Tze Shun","Alice Eve Bryan Cranston Logan Marshall-Green Ursula Parker","Thriller","Sony Pictures Worldwide Acquisitions"
"Dumbbells","Christopher Livingston","Brian Drolet Hoyt Richards Jaleel White","Comedy","GoDigital"
"The Legend of Hercules","Renny Harlin","Kellan Lutz Gaia Weiss Scott Adkins","Fantasy","Summit Entertainment"
"Raze","Josh C. Waller","Zoë Bell Rachel Nichols Tracie Thoms","Thriller","IFC Midnight"
"Back in the Day","Michael Rosenbaum","Michael Rosenbaum Morena Baccarin Kristoffer Polaha Isaiah Mustafa","Comedy","Screen Media Films"
"Devil's Due","Matt Bettinelli-Olpin Tyler Gillett","Zach Gilford Allison Miller Sam Anderson Aimee Carrero","Horror","20th Century Fox"
"Jack Ryan: Shadow Recruit","Kenneth Branagh","Chris Pine Keira Knightley Kevin Costner Kenneth Branagh","Thriller","Paramount Pictures"
"Jamesy Boy","Trevor White","Spencer Lofranco Mary-Louise Parker Taissa Farmiga James Woods","Drama","Phase 4 Films"
"The Nut Job","Peter Lepeniotis","Will Arnett Brendan Fraser Gabriel Iglesias Liam Neeson","Comedy","Open Road Films Based on the short-film Surly Squirrel (2005)"
"Ride Along","Tim Story","Ice Cube Kevin Hart John Leguizamo Bruce McGill","Comedy","Universal Pictures"
"Black Water Vampire","Evan Tramel","Danielle Lozeau Andrea Monier Anthony Fanelli Robin Steffen","Horror","Image Entertainment"
"I, Frankenstein","Stuart Beattie","Aaron Eckhart Bill Nighy Yvonne Strahovski Miranda Otto","Action","Lions Gate Entertainment Based on the novel of the same name by Kevin Grevioux"
