Director,Writer1,Writer2,Actor1,Actor2,Actor3,TotalAwards,Series,TomatoRev,AudienceRev,Income,Genre1,Genre2,Genre3,Label
Todd Haynes,Phyllis Nagy,Patricia Highsmith,Cate Blanchett,Rooney Mara,Kyle Chandler,295,N,94,73, ,Drama,Romance, ,yesDrama
Lenny Abrahamson,Emma Donoghue,Emma Donoghue,Brie Larson,Jacob Tremblay,Sean Bridgers,223,N,94,93,1.4677654E7,Drama, , ,yesDrama
Sean McNamara,Joshua Davis,Elissa Matsueda,George Lopez,Marisa Tomei,Jamie Lee Curtis,4,N,54,82, ,Drama, , ,no
Paul Tibbitt,Glenn Berger,Jonathan Aibel,Antonio Banderas,Eric Bauza,Tim Conway,7,N,80,54, ,Animation,Adventure,Comedy,no
Ari Sandel,Josh A. Cagan,Kody Keplinger,Mae Whitman,Robbie Amell,Bella Thorne,9,N,71,66, ,Comedy, , ,no
Glenn Ficarra,Glenn Ficarra,John Requa,Will Smith,Margot Robbie,Adrian Martinez,2,N,56,53, ,Comedy,Crime,Drama,no
David Gelb,Luke Dawson,Jeremy Slater,Mark Duplass,Olivia Wilde,Sarah Bolger,0,N,N/A,N/A, ,Horror,Mystery,Sci-Fi,no
Craig Moss,Craig Moss, ,Danny Trejo,Danny Glover,John Amos,0,N,N/A,28, ,Action,Drama, ,no
Adam Carolla,Adam Carolla,Kevin Hench,Larry Clarke,Jonathan Klein,Adam Carolla,0,N,55,76, ,Comedy, , ,no
John Madden,Ol Parker,Ol Parker,Dev Patel,Maggie Smith,Danny Mahoney,1,N,63,60, ,Comedy,Drama, ,no
Kenneth Branagh,Chris Weitz, ,Cate Blanchett,Lily James,Richard Madden,37,N,83,78, ,Drama,Family,Fantasy,no
Jaume Collet-Serra,Brad Ingelsby, ,Liam Neeson,Ed Harris,Joel Kinnaman,0,N,60,57, ,Action,Crime,Drama,no
Dan Fogelman,Dan Fogelman, ,Al Pacino,Annette Bening,Jennifer Garner,5,N,78,73, ,Comedy,Drama,Music,no
James Wan,Chris Morgan,Gary Scott Thompson,Vin Diesel,Paul Walker,Jason Statham,49,N,79,83, ,Action,Crime,Thriller,no
Simon Curtis,Alexi Kaye Campbell,E. Randol Schoenberg,Helen Mirren,Ryan Reynolds,Daniel Brühl,5,N,54,79, ,Biography,Drama,History,no
