Director,Writer1,Writer2,Actor1,Actor2,Actor3,TotalAwards,Series,TomatoRev, AudienceRev,Income,Genre1,Genre2,Genre3
"1990"
James Foley,Jim Thompson,Robert Redlin,Jason Patric,Rocky Giordani,Rachel Ward,1,N,82,61, ,Crime, Drama, Mystery,,no
Woody Allen,Woody Allen, ,Joe Mantegna,Mia Farrow,William Hurt,7,N,77,58, ,Comedy, Fantasy, Romance,,no
Frank Marshall,Don Jakoby,Al Williams,Jeff Daniels,Harley Jane Kozak,John Goodman,7,N,91,53, ,Comedy, Fantasy, Horror,,no
Barry Levinson,Barry Levinson, ,Leo Fuchs,Eve Gordon,Lou Jacobi,20,N,83,78, ,Drama, , ,,yesDrama
Penny Marshall,Oliver Sacks,Steven Zaillian,Robert De Niro,Robin Williams,Julie Kavner,17,N,88,89, ,Biography, Drama, ,,no
Robert Zemeckis,Robert Zemeckis,Bob Gale,Michael J. Fox,Christopher Lloyd,Mary Steenburgen,15,Y,74,78, ,Action, Adventure, Comedy,,no
Curtis Hanson,David Koepp, ,Rob Lowe,James Spader,Lisa Zane,2,N,71,51, ,Drama, Thriller, ,,no
Frank Henenlotter,Frank Henenlotter, ,Kevin Van Hentenryck,Judy Grafe,Annie Ross,0,Y,67,40, ,Comedy, Horror, ,,no
Kathryn Bigelow,Kathryn Bigelow,Eric Red,Jamie Lee Curtis,Ron Silver,Clancy Brown,3,N,71,35, ,Action, Crime, Drama,,no
Mark L. Lester,Mark L. Lester,C. Courtney Joyner,Bradley Gregg,Traci Lind,Malcolm McDowell,1,N,60,50, ,Action, Horror, Sci-Fi,,no
Alan Parker,Alan Parker, ,Dennis Quaid,Tamlyn Tomita,Sab Shimono,3,N,70,74, ,Drama, Romance, War,,no
John Waters,John Waters, ,Johnny Depp,Amy Locane,Susan Tyrrell,0,N,73,77, ,Comedy, Musical, ,,no
Kevin Costner,Michael Blake,Michael Blake,Kevin Costner,Mary McDonnell,Graham Greene,82,N,82,87, ,Adventure, Drama, Western,,no
Sam Raimi,Sam Raimi,Chuck Pfarrer,Liam Neeson,Frances McDormand,Colin Friels,9,N,83,58, ,Action, Crime, Fantasy,,no
Warren Beatty,Chester Gould,Jim Cash,Warren Beatty,Charlie Korsmo,Michael Donovan O'Donnell,39,N,64,53, ,Action, Comedy, Crime,,yesComedy
Renny Harlin,Walter Wager,Steven E. de Souza,Bruce Willis,Bonnie Bedelia,William Atherton,2,Y,69,70, ,Action, Thriller, ,,no
Bob Hathcock,Alan Burnett, ,Alan Young,Terence McGovern,Russi Taylor,1,N,88,69, ,Animation, Adventure, Comedy,,no
Tim Burton,Tim Burton,Caroline Thompson,Johnny Depp,Winona Ryder,Dianne Wiest,22,N,89,91, ,Drama, Fantasy, Romance,,no
John Frankenheimer,Stephen Peters,Stephen Peters,Roy Scheider,Jürgen Prochnow,Tim Reid,0,N,78,35, ,Drama, Thriller, ,,no
Frank Henenlotter,Robert Martin,Frank Henenlotter,James Lorinz,Joanne Ritchie,Patty Mullen,0,N,62,57, ,Comedy, Horror, ,,no
Andrew Bergman,Andrew Bergman, ,Marlon Brando,Matthew Broderick,Bruno Kirby,3,N,93,61, ,Comedy, Crime, ,,no
Jerry Zucker,Bruce Joel Rubin, ,Patrick Swayze,Demi Moore,Whoopi Goldberg,40,N,74,80, ,Drama, Fantasy, Romance,,yesComedy
Francis Ford Coppola,Mario Puzo,Francis Ford Coppola,Al Pacino,Diane Keaton,Talia Shire,25,Y,67,78, ,Crime, Drama, ,,yesDrama
