"Year","Drama","Musical/Comedy","Drama Actor","Musical/Comedy Actor","Drama Actress","Musical/Comedy Actress","Director"
"1963–1964","The Cardinal","Tom Jones","Sidney Poitier, Lilies of the Field","Alberto Sordi, The Devil","Leslie Caron, The L-Shaped Room","Shirley MacLaine, Irma la Douce","Elia Kazan, America, America"
"1964–1965","Becket","My Fair Lady","Peter O'Toole, Becket","Rex Harrison, My Fair Lady","Anne Bancroft, The Pumpkin Eater","Julie Andrews, Mary Poppins","George Cukor, My Fair Lady"
"1965–1966","Doctor Zhivago","The Sound of Music","Omar Sharif, Doctor Zhivago","Lee Marvin, Cat Ballou","Samantha Eggar, The Collector","Julie Andrews, The Sound of Music","David Lean, Doctor Zhivago"
"1966–1967","A Man for All Seasons","The Russians Are Coming, the Russians Are Coming","Paul Scofield, A Man for All Seasons","Alan Arkin, The Russians Are Coming, the Russians Are Coming","Anouk Aimée, A Man and a Woman","Lynn Redgrave, Georgy Girl","Fred Zinnemann, A Man for All Seasons"
"1967–1968","In The Heat of the Night","The Graduate","Rod Steiger, In the Heat of the Night","Richard Harris, Camelot","Edith Evans, The Whisperers","Anne Bancroft, The Graduate","Mike Nichols, The Graduate"
"1968–1969","The Lion in Winter","Oliver!","Peter O'Toole, The Lion in Winter","Ron Moody, Oliver!","Joanne Woodward, Rachel, Rachel","Barbra Streisand, Funny Girl","Paul Newman, Rachel, Rachel"
"1969–1970","Anne of the Thousand Days","The Secret of Santa Vittoria","John Wayne, True Grit","Peter O'Toole, Goodbye, Mr. Chips","Geneviève Bujold, Anne of the Thousand Days","Patty Duke, Me, Natalie","Charles Jarrott, Anne of the Thousand Days"
"1970–1971","Love Story","M*A*S*H","George C. Scott, Patton","Albert Finney, Scrooge","Ali MacGraw, Love Story","Carrie Snodgress, Diary of a Mad Housewife","Arthur Hiller, Love Story"
"1971–1972","The French Connection","Fiddler on the Roof","Gene Hackman, The French Connection","Chaim Topol, Fiddler on the Roof","Jane Fonda, Klute","Twiggy, The Boy Friend","William Friedkin, The French Connection"
"1972–1973","The Godfather","Cabaret","Marlon Brando, The Godfather","Jack Lemmon, Avanti!","Liv Ullmann, The Emigrants","Liza Minnelli, Cabaret","Francis Ford Coppola, The Godfather"
"1973–1974","The Exorcist","American Graffiti","Al Pacino, Serpico","George Segal, A Touch of Class","Marsha Mason, Cinderella Liberty","Glenda Jackson, A Touch of Class","William Friedkin, The Exorcist"
"1974–1975","Chinatown","The Longest Yard","Jack Nicholson, Chinatown","Art Carney, Harry and Tonto","Gena Rowlands, A Woman Under the Influence","Raquel Welch, The Three Musketeers","Roman Polanski, Chinatown"
"1975–1976","One Flew Over the Cuckoo's Nest","The Sunshine Boys","Jack Nicholson, One Flew Over the Cuckoo's Nest","George Burns and Walter Matthau, The Sunshine Boys(tie)","Louise Fletcher, One Flew Over the Cuckoo's Nest","Ann-Margret, Tommy","Miloš Forman, One Flew Over the Cuckoo's Nest"
"1976–1977","Rocky","A Star Is Born","Peter Finch, Network","Kris Kristofferson, A Star Is Born","Faye Dunaway, Network","Barbra Streisand, A Star Is Born","Sidney Lumet, Network"
"1977–1978","The Turning Point","The Goodbye Girl","Richard Burton, Equus","Richard Dreyfuss, The Goodbye Girl","Jane Fonda, Julia","Diane Keaton, Annie Hall and Marsha Mason,The Goodbye Girl(tie)","Herbert Ross, The Turning Point"
"1978–1979","Midnight Express","Heaven Can Wait","Jon Voight, Coming Home","Warren Beatty, Heaven Can Wait","Jane Fonda, Coming Home","Ellen Burstyn, Same Time, Next Year and Maggie Smith,California Suite(tie)","Michael Cimino, The Deer Hunter"
"1979–1980","Kramer vs. Kramer","Breaking Away","Dustin Hoffman, Kramer vs. Kramer","Peter Sellers, Being There","Sally Field, Norma Rae","Bette Midler, The Rose","Francis Ford Coppola, Apocalypse Now"
"1980–1981","Ordinary People","Coal Miner's Daughter","Robert De Niro, Raging Bull","Ray Sharkey, The Idolmaker","Mary Tyler Moore, Ordinary People","Sissy Spacek, Coal Miner's Daughter","Robert Redford, Ordinary People"
"1981–1982","On Golden Pond","Arthur","Henry Fonda, On Golden Pond","Dudley Moore, Arthur","Meryl Streep, The French Lieutenant's Woman","Bernadette Peters, Pennies from Heaven","Warren Beatty, Reds"
"1982–1983","E.T. the Extra-Terrestrial","Tootsie","Ben Kingsley, Gandhi","Dustin Hoffman, Tootsie","Meryl Streep, Sophie's Choice","Julie Andrews, Victor Victoria","Richard Attenborough, Gandhi"
